dataset_idx,statement,generated_with,eval_text,eval_image,eval_both
3,There are multiple fish in both scenes.,both,both,both,both
3,The fish in both scenes are swimming in the water.,both,both,both,both
4,Both scenes have a pot holding something.,text,both,both,both
4,Both scenes have a ground floor made up of dirt and leaves.,text,both,one,both
4,Both scenes have a wooden wall.,text,one,one,both
4,Both scenes have a railing.,text,one,one,both
4,Both scenes have a platform.,text,both,one,both
4,Both images feature a knight statue.,image,one,both,both
4,The knight statue is made of metal.,image,both,both,both
4,The knight statue is standing on a base.,image,both,both,both
4,The knight statue is holding a sword.,image,both,both,both
4,The knight statue is wearing a helmet.,image,one,both,one
4,Both scenes have a knight statue as a central figure.,both,one,both,both
4,Both scenes have a pot with a plant in it.,both,one,one,both
4,Both scenes have a wooden staircase.,both,one,one,both
4,Both scenes have a wall made of wood.,both,one,one,both
4,Both scenes have a ground floor made of dirt and leaves.,both,both,one,both
5,Both scenes have a traffic sign.,text,both,both,both
5,Both scenes have a pole.,text,both,both,both
5,Both scenes have a sidewalk.,text,one,both,both
5,Both scenes have trees in the background.,text,both,both,both
5,Both scenes have a blue sky in the background.,text,one,one,both
5,Both images feature a stop sign.,image,one,one,both
5,Both images have a yield sign.,image,one,one,one
5,Both images have a tree.,image,both,both,both
5,Both images have a sidewalk.,image,one,both,both
5,Both images have a grassy area.,image,one,both,both
5,Both scenes have a sign on a pole.,both,both,both,both
5,Both signs are located near a sidewalk.,both,both,both,both
5,Both scenes have trees in the background.,both,both,both,both
5,Both scenes have a blue sky in the background.,both,one,one,both
5,Both scenes have a crosswalk in the background.,both,one,one,both
6,Both scenes feature a heart shape.,text,both,one,both
6,Both scenes have a gray background.,text,both,both,both
6,Both scenes have a concrete surface.,text,both,both,both
6,Both scenes have a darker area in the center of the heart shape.,text,both,one,both
6,Both scenes have small objects scattered around the heart shape.,text,both,one,both
6,Both images feature a heart shape.,image,both,one,both
6,The heart shapes are drawn on the ground.,image,both,both,both
6,The heart shapes are white.,image,one,both,one
6,The heart shapes are located on the ground.,image,both,both,both
6,The heart shapes are made of chalk.,image,one,both,one
6,Both images feature a heart shape.,both,both,one,both
6,Both images have a gray background.,both,both,both,both
6,Both images have a heart shape that is the focal point.,both,both,both,both
6,Both images have a concrete surface.,both,both,both,both
6,Both images have a darker area in the heart shape.,both,both,one,both
7,Both scenes feature a cat.,text,both,both,both
7,Both cats are indoors.,text,both,both,both
7,Both cats have a shadow on the wall behind them.,text,both,one,both
7,Both cats have a white trim at the bottom of the wall.,text,one,one,both
7,Both cats are in a domestic setting.,text,both,both,both
7,The cat is the main subject in both images.,image,both,both,both
7,The cat is black and white in both images.,image,both,both,both
7,The cat is sitting on the floor in both images.,image,one,both,both
7,The cat has a black tail in both images.,image,both,both,both
7,The cat has a black spot on its back in both images.,image,one,both,one
7,The cat is the main subject in both scenes.,both,both,both,both
7,The cat is black and white in both scenes.,both,both,both,both
7,The cat is indoors in both scenes.,both,both,both,both
7,The cat is on a floor in both scenes.,both,both,both,both
7,The cat is looking at something in both scenes.,both,both,both,both
8,Both scenes feature a cat in a bathtub.,text,both,both,both
8,Both cats are white with black features.,text,one,both,both
8,Both cats are looking to the right.,text,one,one,one
8,Both tubs are white.,text,both,both,both
8,Both tubs have a drain cover.,text,both,one,both
8,The cat is white with black markings.,image,both,both,both
8,The cat is sitting in both sinks.,image,unknown,both,both
8,The cat's ears are perked up in both images.,image,both,both,both
8,The cat's eyes are open in both images.,image,both,both,both
8,The cat's whiskers are visible in both images.,image,both,both,both
8,The cat is white with black markings.,both,both,both,both
8,The bathtub is white.,both,both,both,both
8,The cat is in the bathtub.,both,both,both,both
8,The cat is looking to the right.,both,one,both,one
8,The bathtub has a drain cover.,both,both,both,both
9,Both scenes have a natural outdoor setting.,text,both,both,both
9,Both scenes have trees in the background.,text,both,one,both
9,Both scenes have a significant rock formation.,text,both,both,both
9,Both scenes have a sense of depth and perspective.,text,both,both,both
9,"Both scenes have a sense of natural decay or aging, with the rock layers in Scene 1 and the algae growth in Scene 2.",text,both,both,both
9,Both images feature large rocks or boulders as the main subjects.,image,both,both,both
9,"The rocks are covered in moss, indicating a moist environment.",image,one,both,both
9,"The presence of trees and shrubs suggests a natural, possibly forested setting.",image,both,both,both
9,"The sky is visible in both images, indicating that the photos were taken outdoors.",image,both,both,both
9,"The lighting in both images is natural, suggesting that the photos were taken during the day.",image,both,both,both
9,Both scenes have a natural outdoor setting with trees and rocks.,both,both,both,both
9,Both scenes have a staircase or steps.,both,unknown,both,both
9,Both scenes have a large rock formation.,both,both,both,both
9,Both scenes have a tree with a visible trunk.,both,one,one,both
9,Both scenes have a background with more trees.,both,both,one,both
10,Both scenes have an American flag.,text,both,both,both
10,Both scenes have a flagpole.,text,both,both,both
10,Both scenes have a flag attached to the flagpole.,text,both,both,both
10,Both scenes have a state flag.,text,both,one,both
10,Both scenes have a blue sky.,text,both,both,both
10,Both images feature the American flag.,image,both,both,both
10,Both images have a flagpole.,image,both,both,both
10,Both images have a city skyline in the background.,image,one,one,both
10,Both images have a clear blue sky.,image,both,both,both
10,Both images have clouds in the sky.,image,one,both,both
10,Both scenes have the American flag and the Texas flag.,both,both,both,both
10,Both scenes have a flagpole with a gold ball at the top.,both,one,both,both
10,Both scenes have a blue sky with white clouds.,both,both,both,both
10,Both scenes have the flags at full mast.,both,both,both,both
10,Both scenes have the flags billowing in the wind.,both,both,both,both
11,Both scenes feature a blue 2016 BMW 428i M Sport car.,text,both,both,both
11,Both scenes have the car facing to the left.,text,both,both,both
11,Both scenes have a fence in the background.,text,both,both,both
11,Both scenes have a goal post in the background.,text,one,one,both
11,Both scenes have a gray sky.,text,both,both,both
11,The car is blue in both images.,image,both,both,both
11,The car is parked in the same location in both images.,image,one,both,both
11,The car has the same design and features in both images.,image,both,both,both
11,The car has the same wheel design in both images.,image,both,both,both
11,The car has the same body shape in both images.,image,both,both,both
11,The car is a blue 2016 BMW 428i M Sport.,both,both,both,both
11,The car is parked facing to the left.,both,both,both,both
11,The car has black tires and low-tinted windows.,both,both,both,both
11,The car is parked on a wet surface.,both,both,both,both
11,The car is parked near a fence.,both,both,both,both
12,Both scenes involve a stone cliff or stone.,text,both,both,both
12,There is a rough surface on the stone in both scenes.,text,both,both,both
12,There are spots with discoloration on the stone in both scenes.,text,one,both,both
12,There are depressions in the rock of the cliff in both scenes.,text,one,both,both
12,The lighting and coloring indicate that both scenes are daytime.,text,both,both,both
12,Both images show a close-up of a rock surface.,image,both,both,both
12,The rocks have a rough texture.,image,both,both,both
12,There are visible cracks and crevices in both rocks.,image,both,both,both
12,"The rocks have a natural, unpolished appearance.",image,both,both,both
12,"Both rocks have a color gradient, with darker and lighter areas.",image,both,one,both
12,Both scenes have a rough surface texture.,both,both,both,both
12,There are depressions in the rock of the cliff.,both,both,both,both
12,There is a presence of dirt in both scenes.,both,both,both,both
12,There is a variation in color in both scenes.,both,both,both,both
12,There is a presence of moss in both scenes.,both,one,one,both
13,Both scenes are set in a cave.,text,both,both,both
13,Both scenes have a spotlight illuminating a specific area.,text,both,both,both
13,Both scenes have a stone brick wall.,text,one,one,both
13,Both scenes have a cave ceiling.,text,both,both,both
13,Both scenes have a shadow cast across the wall.,text,both,one,both
13,Both images depict underground cave environments.,image,both,both,both
13,The presence of a person in each image suggests human activity or exploration.,image,unknown,both,both
13,"The lighting in both images is artificial, with a single light source in each case.",image,both,both,both
13,"The walls of the caves are made of stone, with visible layers and textures.",image,both,both,both
13,"The floors of the caves are uneven and rocky, with some areas appearing smoother than others.",image,both,both,both
13,Both scenes have a spotlight illuminating a specific area.,both,both,both,both
13,Both scenes have a stone brick wall.,both,one,one,both
13,Both scenes have a cave ceiling.,both,both,both,both
13,Both scenes have a shadow cast across the stone brick wall.,both,both,one,both
13,Both scenes have a walkway or path.,both,both,both,both
14,Both scenes feature a parked car.,text,both,both,both
14,Both scenes have a parking lot or similar area.,text,both,both,both
14,Both scenes have a line or lines on the ground.,text,both,both,both
14,Both scenes have a vehicle in the background.,text,one,one,both
14,Both scenes have a natural element (trees) in the background.,text,both,both,both
14,Both cars are parked in a parking lot.,image,one,both,both
14,Both cars are sports cars.,image,both,one,both
14,Both cars have a sunroof.,image,one,one,one
14,Both cars have a black front bumper.,image,one,one,both
14,Both cars have a black tire.,image,one,one,both
14,Both cars have a black side mirror.,image,one,one,both
14,Both cars have a black steering wheel.,image,one,one,both
14,Both cars have a black seat belt.,image,one,one,both
14,Both cars have a black door handle.,image,one,one,both
14,Both cars have a black side view mirror.,image,one,one,both
14,Both scenes feature cars parked in a parking lot.,both,both,both,both
14,Both cars are parked next to a curb.,both,one,one,both
14,Both scenes have a white line on the ground.,both,both,both,both
14,Both scenes have a shadow of a tree.,both,one,one,both
14,Both scenes have a background with trees.,both,both,both,both
15,Both scenes have a circular table in the center.,text,one,one,both
15,Both scenes have a glass window in the background.,text,both,both,both
15,Both scenes have a floor that is a different color than the chairs.,text,both,both,both
15,Both scenes have a shadow cast onto the wall.,text,one,one,both
15,Both scenes have a light source that is shining through the window.,text,both,both,both
15,Both images feature a large window with a view of the city and mountains.,image,one,both,both
15,"The color scheme of the furniture is consistent in both images, with black and purple being the primary colors.",image,one,both,both
15,"The furniture arrangement is symmetrical in both images, with two chairs and a table in the right image and a bench in the left image.",image,one,both,both
15,"The flooring in both images is carpeted, with a similar pattern and color.",image,one,both,both
15,"The lighting in both images is natural, coming from the large windows.",image,both,both,both
15,Both scenes have a view of the outdoors through large windows.,both,both,both,both
15,Both scenes have a circular table in the center.,both,one,one,both
15,Both scenes have chairs that are facing each other.,both,one,both,both
15,Both scenes have a carpeted floor.,both,one,one,both
15,Both scenes have a view of trees and buildings outside the windows.,both,both,both,both
16,Both scenes have a main object that is the focus of the image.,text,both,both,both
16,Both scenes have a background that is not in focus.,text,both,both,both
16,Both scenes have a shadow of the main object on the background.,text,both,one,both
16,Both scenes have a light source coming from the left.,text,both,both,both
16,Both scenes have a vertical element in the background.,text,both,both,both
16,"Both images feature a bird, albeit in different contexts.",image,unknown,one,one
16,The bird in both images is small and brown.,image,unknown,both,both
16,"The color scheme of the images is predominantly neutral, with shades of beige, brown, and white.",image,both,both,both
16,The bird is positioned in a way that it is the focal point of the image.,image,one,one,one
16,The images have a serene and calm atmosphere.,image,both,both,both
16,"Both scenes have a neutral color palette with shades of beige, cream, and off-white.",both,both,both,both
16,"Both scenes have a textured surface, with the rattan furniture in Scene 1 and the concrete wall and shelf in Scene 2.",both,both,both,both
16,"Both scenes have a vertical element, with the rattan back of the furniture in Scene 1 and the door in Scene 2.",both,both,both,both
16,"Both scenes have a shadow, with the Anole's shadow on the cushion in Scene 1 and the vase's shadow on the wall in Scene 2.",both,both,both,both
16,"Both scenes have a blurred background, with the backyard and fence in Scene",both,one,one,one
17,Both scenes have a pile of stones or bricks.,text,both,both,both
17,"Both scenes have a wooden element, either a pole or a fence.",text,both,both,both
17,Both scenes have a patch of dirt or ground.,text,both,both,both
17,Both scenes have a patch of grass.,text,both,both,both
17,Both scenes are outdoors and well-lit.,text,both,both,both
17,Both images show a pile of bricks and broken concrete.,image,one,both,both
17,The pile of bricks and broken concrete is located near a wooden fence.,image,one,both,both
17,The pile of bricks and broken concrete is situated next to a building.,image,one,both,both
17,The pile of bricks and broken concrete is on the ground.,image,both,both,both
17,The pile of bricks and broken concrete is in an outdoor setting.,image,both,both,both
17,Both scenes have a pile of bricks.,both,one,one,both
17,There is a wooden fence in both scenes.,both,one,one,both
17,The ground in both scenes is bare dirt.,both,one,one,both
17,There are stones in both scenes.,both,both,both,both
17,The scenes are both outdoors.,both,both,both,both
18,Both scenes have a grassy area.,text,both,both,both
18,Both scenes have trees.,text,both,both,both
18,Both scenes have a sky.,text,both,one,both
18,Both scenes have a ladder.,text,one,one,both
18,Both scenes have a grassy area with a tree line.,text,both,both,both
18,Both images feature trees as the main subjects.,image,both,both,both
18,"The trees are located in a natural setting, surrounded by grass and other vegetation.",image,both,both,both
18,"The sky is visible in both images, indicating an outdoor environment.",image,both,both,both
18,"The lighting in both images appears to be natural, suggesting that the photos were taken during the day.",image,both,both,both
18,"The trees in both images have a significant presence in the frame, with one tree being more prominent in the left image and the other in the right image.",image,both,both,both
18,Both scenes have a grassy area in the foreground.,both,both,both,both
18,There are trees in both scenes.,both,both,both,both
18,The sky is visible in both scenes.,both,both,both,both
18,The grass is green in both scenes.,both,both,both,both
18,There is a ladder in one of the scenes.,both,both,unknown,both
19,Both scenes feature a green insect.,text,both,both,both
19,Both insects have green legs.,text,both,one,both
19,Both insects have green bodies.,text,both,both,both
19,Both insects have wings.,text,both,one,both
19,Both insects have antennae.,text,both,one,both
19,Both images feature a grasshopper.,image,one,one,one
19,The grasshopper is green in color.,image,both,both,both
19,The grasshopper is outdoors.,image,one,both,one
19,The grasshopper is on a surface that is not flat.,image,both,both,one
19,The grasshopper is in close proximity to a human hand.,image,one,both,both
19,Both scenes feature a green insect.,both,both,both,both
19,The insect has a green body.,both,both,both,both
19,The insect has wings.,both,both,both,both
19,The insect has antennae.,both,both,both,both
19,The insect has legs.,both,both,both,both
19,The insect is sitting on a surface.,both,both,both,both
19,The insect is facing to the left.,both,both,both,both
19,The insect has a green color.,both,both,both,both
19,The insect has a leaf-like appearance.,both,both,both,both
19,The insect has veins on its back.,both,both,both,both
20,Both scenes have a mosaic artwork on a white tiled wall.,text,both,both,both
20,Both scenes have a variety of colors used in the artwork.,text,both,both,both
20,Both scenes have a gray grout visible in between the tiles.,text,both,both,both
20,Both scenes have a reflection on the wall.,text,one,one,both
20,Both scenes have a ceiling above the wall.,text,both,one,both
20,Both images feature a mosaic art piece.,image,both,both,both
20,The mosaics are placed on a tiled wall.,image,both,both,both
20,The mosaics are colorful and detailed.,image,both,both,both
20,The mosaics are located in an urban setting.,image,one,both,both
20,"The mosaics are part of a larger wall, with the number 81 visible in the right image.",image,both,both,both
20,Both scenes have a mosaic artwork on a white tiled wall.,both,both,both,both
20,Both artworks are made up of many small square tile pieces.,both,both,both,both
20,Both artworks have a variety of colors.,both,both,both,both
20,Both artworks are on a wall with a baseboard.,both,both,both,both
20,Both artworks are above a floor that is not tiled.,both,one,one,both
21,Both scenes have a wooden element.,text,both,both,both
21,Both scenes have a horse element.,text,both,both,both
21,Both scenes have a sign element.,text,both,both,both
21,Both scenes have a nail element.,text,both,one,both
21,Both scenes have a vertical element.,text,both,both,both
21,Both images feature a horse as a central element.,image,both,one,both
21,"The horse is depicted in a dynamic pose, either running or bucking.",image,both,both,both
21,"The background of both images is a wooden wall, which adds a rustic feel.",image,both,both,both
21,"The color scheme of both images includes red, as seen in the horse's mane and tail, and the wheel.",image,both,both,both
21,"The wheel in both images is wooden and has a similar design, with spokes and a central hub.",image,both,both,both
21,Both scenes have a horse as a central element.,both,both,one,both
21,"Both scenes have a wooden element, either a wall or a wagon wheel.",both,both,both,both
21,"Both scenes have a red element, either a sign or a relief.",both,both,both,both
21,"Both scenes have a checkered pattern, either on a tablecloth or a sign.",both,one,one,both
21,"Both scenes have a cowboy element, either a sign or a relief.",both,both,both,both
22,Both scenes have two vehicles parked in a parking lot.,text,both,both,both
22,Both scenes have the hood of one of the vehicles open.,text,both,one,both
22,Both scenes have a building in the background.,text,both,both,both
22,Both scenes have electrical poles in the background.,text,both,both,both
22,Both scenes have a clear sky in the background.,text,both,both,both
22,"Both images feature cars with their hoods open, indicating some form of maintenance or inspection.",image,both,one,both
22,"The cars are parked in a lot, which is a common setting for car shows or meetups.",image,both,both,both
22,The presence of multiple cars in both images suggests a gathering or event.,image,both,both,both
22,"The clear skies in both images suggest good weather, which is often preferred for outdoor events.",image,both,both,both
22,"The buildings in the background of both images are nondescript and do not distract from the main focus, which is the cars.",image,both,both,both
22,Both scenes have cars with their hoods open.,both,both,one,both
22,Both scenes have a parking lot setting.,both,both,both,both
22,Both scenes have a clear sky.,both,both,both,both
22,Both scenes have buildings in the background.,both,both,both,both
22,Both scenes have a fence in the background.,both,one,both,both
23,Both scenes have a chair on a tennis court.,text,both,both,both
23,Both scenes have a black net in the background.,text,both,both,both
23,Both scenes have a fence around the tennis court.,text,both,both,both
23,Both scenes have a tennis racket on the chair.,text,both,one,both
23,Both scenes have a person partially visible in the background.,text,one,one,one
23,Both images feature a tennis court with a net.,image,both,both,both
23,Both images have a tennis racket placed on a chair.,image,both,one,both
23,The chair in both images is gray.,image,both,both,both
23,The tennis racket in both images has a blue handle.,image,one,both,both
23,The tennis racket in both images has a yellow and green body.,image,one,both,both
23,Both scenes have a tennis racket on a chair.,both,both,one,both
23,Both scenes have a black and white net.,both,both,both,both
23,Both scenes have a green tennis court.,both,one,both,both
23,Both scenes have a red walkway surrounding the court.,both,one,one,both
23,Both scenes have a fence in the background.,both,both,both,both
24,Both scenes have a trashcan as a central object.,text,both,one,both
24,Both trashcans are broken.,text,both,one,both
24,Both trashcans are placed on a chair.,text,one,one,both
24,Both scenes have a grass area.,text,both,one,both
24,Both scenes have a sidewalk or curb.,text,both,both,both
24,Both images show two chairs and a bucket.,image,one,one,both
24,The chairs are made of wood and have a similar design.,image,both,both,both
24,The bucket is red and appears to be made of plastic.,image,one,both,both
24,The chairs are placed on a paved surface.,image,both,both,both
24,The bucket is placed on the ground next to the chairs in both images.,image,one,both,both
24,Both scenes have a chair as the main object.,both,both,both,both
24,Both scenes have a trashcan present.,both,both,one,both
24,Both scenes have a grass area.,both,both,one,both
24,Both scenes have a sidewalk or curb.,both,both,both,both
24,Both scenes have a pole or post.,both,both,one,both
25,Both scenes feature a train traveling on a railroad track.,text,both,both,both
25,The railroad track is placed on a small mound made up of rocks.,text,both,one,both
25,There is a green grass field to the right of the railroad track.,text,both,both,both
25,A silver metal caged fence is rooted into the grass field.,text,both,both,both
25,The sky is a light blue color with white clouds.,text,both,both,both
25,Both images feature a train on a track.,image,both,both,both
25,The trains are both black and have a similar design.,image,one,both,both
25,The trains are moving on a track that is surrounded by grass.,image,both,both,both
25,The sky in both images is blue with some clouds.,image,both,both,both
25,The trains are located in an open area with no buildings or other structures in the immediate vicinity.,image,both,both,both
25,Both scenes have a train traveling on a railroad track.,both,both,both,both
25,The railroad track is placed on a small mound made up of gray colored rocks.,both,both,one,both
25,There is a green grass field to the right of the railroad track.,both,both,both,both
25,A silver metal caged fence is rooted into the grass field.,both,both,both,both
25,The sky is a light blue color with white clouds.,both,both,both,both
26,Both scenes have two cats.,text,both,both,both
26,Both cats are a gray tabby and a white Harlequin.,text,one,one,one
26,Both cats are facing each other.,text,both,one,both
26,Both cats are in an indoor setting.,text,both,both,both
26,Both cats are on a gray surface.,text,both,both,both
26,Both cats are engaged in playful behavior.,image,both,both,both
26,Both cats are standing on their hind legs.,image,one,one,one
26,Both cats have their front paws raised.,image,one,one,both
26,Both cats are facing each other.,image,both,one,both
26,"Both cats have a similar body posture, with their bodies leaning slightly forward.",image,both,one,both
26,"Both scenes have two cats, a gray tabby and a white Harlequin.",both,both,both,both
26,Both cats are facing each other.,both,both,one,both
26,The cats are in an indoor setting.,both,both,both,both
26,"The cats are engaged in some form of interaction, whether it be fighting or playing.",both,both,both,both
26,The background includes a gray wall with white baseboards.,both,both,both,both
27,Both scenes have a light source.,text,both,both,both
27,Both scenes have a ceiling.,text,both,both,both
27,Both scenes have a wall.,text,both,both,both
27,Both scenes have a light fixture.,text,both,both,both
27,Both scenes have a light bulb.,text,both,both,both
27,Both images show a light fixture mounted on a ceiling.,image,one,both,both
27,The light fixtures are both turned on.,image,both,both,both
27,The light bulbs in both fixtures are white.,image,both,both,both
27,The light fixtures are both mounted on a white ceiling.,image,one,both,both
27,The light fixtures are both designed to illuminate a room.,image,both,both,both
27,Both scenes have a light source that is the focal point.,both,both,both,both
27,Both scenes have a white light bulb.,both,both,one,both
27,Both scenes have a light fixture attached to a ceiling or wall.,both,both,both,both
27,Both scenes have a shadow cast by the light source.,both,both,one,both
27,Both scenes have a white ceiling.,both,both,both,both
28,Both scenes feature a white boat with black tinted windows.,text,both,both,both
28,Both scenes have a body of water.,text,both,both,both
28,Both scenes have trees in the background.,text,both,both,both
28,Both scenes have a utility pole with power lines.,text,one,one,both
28,Both scenes have a light post behind the boat.,text,one,one,both
28,Both boats are white in color.,image,both,both,both
28,Both boats have a sleek design with a streamlined shape.,image,both,both,both
28,Both boats have multiple windows along the sides.,image,both,both,both
28,Both boats have a cabin area with a roof.,image,both,both,both
28,Both boats are docked at a marina.,image,one,both,both
28,Both scenes feature a white yacht.,both,one,both,both
28,Both yachts have multiple windows.,both,both,both,both
28,Both yachts have a top floor with an umbrella.,both,one,one,both
28,Both yachts are on a body of water.,both,both,both,both
28,Both yachts have a utility pole with power lines nearby.,both,one,one,both
29,Both scenes have signs with white lettering.,text,both,both,both
29,Both scenes have a sign with an arrow.,text,both,one,one
29,Both scenes have a sign with a warning message.,text,both,both,both
29,Both scenes have a dirt patch in the foreground.,text,one,one,both
29,Both scenes have a road in the background.,text,one,both,both
29,Both signs are rectangular in shape.,image,both,both,both
29,Both signs have a white background.,image,both,both,both
29,Both signs have black lettering.,image,one,both,one
29,Both signs are placed on the ground.,image,both,both,both
29,Both signs are located outdoors.,image,both,both,both
29,Both signs are posted in outdoor settings.,both,both,both,both
29,Both signs have a clear message to direct traffic.,both,both,both,both
29,Both signs have a contrasting color scheme (black and white or white and blue).,both,both,both,both
29,Both signs are placed in a landscape bed or dirt patch.,both,one,both,both
29,Both signs have a rectangular shape.,both,both,both,both
30,Both scenes are outdoor settings.,text,both,both,both
30,Both scenes have a bridge as a central element.,text,both,both,both
30,Both scenes have trees in the background.,text,both,both,both
30,Both scenes have buildings in the background.,text,both,both,both
30,Both scenes have a sky above them.,text,both,both,both
30,Both images feature a bridge with graffiti on it.,image,both,both,both
30,"The graffiti on both images is colorful and includes the word ""BOOGER.""",image,one,both,both
30,The background of both images includes a city skyline with tall buildings.,image,one,both,both
30,"The sky in both images is overcast, with clouds visible.",image,both,both,both
30,"The time of day appears to be either dawn or dusk, as indicated by the lighting in the sky.",image,both,both,both
30,Both scenes have a bridge as the main subject.,both,both,both,both
30,Both scenes have trees surrounding the bridge.,both,both,both,both
30,Both scenes have buildings in the background.,both,both,both,both
30,Both scenes have electrical wires above the bridge.,both,one,one,both
30,Both scenes have a crane in the background.,both,one,one,one
31,Both scenes feature a cat as the main subject.,text,both,both,both
31,Both cats have a black tail.,text,both,one,both
31,Both cats have a black top of the head.,text,both,one,both
31,Both cats have a black covered eye.,text,both,one,both
31,Both scenes have a shadow cast on the floor.,text,both,one,both
31,The cat is the main subject in both images.,image,both,both,both
31,The cat has a white and black color pattern.,image,both,both,both
31,The cat is sitting in both images.,image,both,both,both
31,The cat has a similar facial expression in both images.,image,one,both,both
31,The cat's ears are perked up in both images.,image,one,both,both
31,The cat is the main subject in both scenes.,both,both,both,both
31,The cat is sitting in both scenes.,both,both,both,both
31,The cat has a black tail in both scenes.,both,both,both,both
31,The cat has a black top of the head in both scenes.,both,both,both,both
31,The cat has a black covered left eye in both scenes.,both,both,both,both
32,Both scenes feature a cumulonimbus cloud.,text,both,one,both
32,The sun is shining on the cumulonimbus cloud in both scenes.,text,both,both,both
32,The sky is bright blue in both scenes.,text,one,both,both
32,The cumulonimbus cloud is the main focus of both scenes.,text,both,both,both
32,The clouds in the rest of the image are darker in both scenes.,text,both,both,both
32,Both images feature clouds in the sky.,image,both,both,both
32,The clouds are white in color.,image,both,both,both
32,The sky is blue in both images.,image,both,both,both
32,The clouds are fluffy and puffy.,image,both,both,both
32,The clouds are scattered across the sky.,image,both,both,both
32,Both scenes have a cumulonimbus cloud as the main subject.,both,both,one,both
32,The sky in both scenes is blue.,both,both,both,both
32,The sun is shining on the clouds in both scenes.,both,both,both,both
32,The clouds in both scenes are white.,both,both,both,both
